name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Lower Great Highway Judah Restrooms,472633773455991733,restroom,0,0,0,0,37.760245275584225,-122.5095665118734,Great Hwy & Noriega,San Francisco,CA,94122,Lower Great Highway,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.509566512 37.760245276),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Coffman Community Pool,8800887384107998647,restroom,0,0,0,0,37.71335158053841,-122.41572364715556,1701 Visitacion Ave,San Francisco,CA,94134,Herz Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415723647 37.713351581),10,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Douglass Clubhouse,3198698486750945158,restroom,0,0,0,0,37.74781478909124,-122.43843167389852,26th & Douglass St,San Francisco,CA,94131,Douglass Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438431674 37.747814789),8,Noe Valley,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park McLaren Lodge,3416477700079353706,restroom,0,0,0,0,37.77187874745921,-122.45481946760583,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.454819468 37.771878747),1,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Ball Diamond 1 Grandstand,4785327987590003465,restroom,0,0,0,0,37.714968234445756,-122.4318982190083,Moscow & Geneva Streets,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.431898219 37.714968234),11,Excelsior,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Boeddeker Park Clubhouse,2534395336960747975,restroom,0,0,0,0,37.78431333585603,-122.41181375103316,295 Eddy St,San Francisco,CA,94102,Father Alfred E. Boeddeker Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411813751 37.784313336),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Tenderloin Pit Stop - Turk and Hyde streets,4596080096965280480,restroom,0,0,0,0,37.7825365,-122.4157402,Turk and Hyde streets,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4157402 37.7825365),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
South Sunset Clubhouse,7164518970109990344,restroom,0,0,0,0,37.738069261863394,-122.49828820528866,40th Ave & Vicente St,San Francisco,CA,94116,South Sunset Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.498288205 37.738069262),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Junipero Serra Clubhouse,639104613465753824,restroom,0,0,0,0,37.72509667758532,-122.47409860537435,300 Stonecrest Dr,San Francisco,CA,94132,Junipero Serra Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.474098605 37.725096678),7,West of Twin Peaks,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Eureka Valley Rec Center,2332821162557756966,restroom,0,0,0,0,37.76025851653294,-122.43646113090445,100 Collingwood,San Francisco,CA,94114,Eureka Valley Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.436461131 37.760258517),8,Castro/Upper Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
SoMa Pit Stop - 6th and Natoma streets,6442859660123884493,restroom,0,0,0,0,37.780182,-122.4077046,6th and Natoma streets,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4077046 37.780182),6,South of Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Portsmouth Square Clubhouse,5076840125778629956,restroom,0,0,0,0,37.7950205095647,-122.40533898871983,Washington & Kearny St,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405338989 37.79502051),3,Chinatown,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Tenderloin Pit Stop - Eddy St. and Larkin St. Tenderloin Pit Stop Daily,8111766670791515647,restroom,0,0,0,0,37.783353,-122.41769,Eddy St. and Larkin St.   Tenderloin Pit Stop Daily,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.41769 37.783353),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - 16th and Mission streets (JCDecaux),1226175465277442641,restroom,0,0,0,0,37.7649465,-122.4200173,16th and Mission streets (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4200173 37.7649465),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Grattan Clubhouse,4454891534355363438,restroom,0,0,0,0,37.76276001056365,-122.45197358354316,1180 Stanyan St,San Francisco,CA,94117,Grattan Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451973584 37.762760011),8,Haight Ashbury,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Trocadero Restrooms,745840664498017558,restroom,0,0,0,0,37.736201161633005,-122.4782232472135,19th Avenue & Sloat Boulevard,San Francisco,CA,94132,Sigmund Stern Recreation Grove,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.478223247 37.736201162),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Lincoln Park Restrooms,1342337739062596248,restroom,0,0,0,0,37.78422003957738,-122.50182641651354,34th Avenue & Clement,San Francisco,CA,94121,Lincoln Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.501826417 37.78422004),1,Lincoln Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Art Center,5865210523169838923,restroom,0,0,0,0,37.758088756435995,-122.41344365384158,745 Treat St,San Francisco,CA,94110,Mission Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.413443654 37.758088756),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Bayview Pit Stop - Mendell Plaza Bayview Pit Stop Daily,8982348774902252933,restroom,0,0,0,0,37.7340389,-122.3908134,Mendell Plaza   Bayview Pit Stop Daily,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.3908134 37.7340389),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
St Mary's Rec Center,3427043505677543567,restroom,0,0,0,0,37.7340685207479,-122.42170664501008,Murray & Justin Dr,San Francisco,CA,94110,St. Mary's Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.421706645 37.734068521),9,Bernal Heights,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Presidio Heights Clubhouse,4289748452748884379,restroom,0,0,0,0,37.78848312727694,-122.44983021402442,Clay & Walnut St,San Francisco,CA,94118,Presidio Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449830214 37.788483127),2,Presidio Heights,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Michelangelo Gardeners Shed,4426667895717323973,restroom,0,0,0,0,37.80129135533541,-122.4167842996193,Greenwich & Jones,San Francisco,CA,94133,Michelangelo Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.4167843 37.801291355),3,Russian Hill,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Millwright's House,2023776853834656901,restroom,0,0,0,0,37.76519673823587,-122.50843659415584,,San Francisco,CA,94122,Golden Gate Park - Section 6,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.508436594 37.765196738),4,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
West Portal Clubhouse,1152567663852889285,restroom,0,0,0,0,37.74168341804243,-122.46530795554563,Ulloa & Lenox St,San Francisco,CA,94127,West Portal Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465307956 37.741683418),7,West of Twin Peaks,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Excelsior Clubhouse,7624069768620183306,restroom,0,0,0,0,37.7202344397827,-122.43358560682097,Russia Ave & Madrid,San Francisco,CA,94112,Excelsior Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433585607 37.72023444),11,Excelsior,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Rose Garden Bathroom,4916273171344549738,restroom,0,0,0,0,37.771522577582196,-122.47202098658721,Stanyan & Great Hwy,San Francisco,CA,94118,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.472020987 37.771522578),1,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - 344 14th St.,2466058572733021801,restroom,0,0,0,0,37.7682576,-122.4210014,344 14th St.,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4210014 37.7682576),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Pine Lake Park Clubhouse,2223355946498313310,restroom,0,0,0,0,37.73599377685351,-122.48720703446608,Sloat Blvd & Vale St,San Francisco,CA,94132,Pine Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.487207034 37.735993777),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Kezar Stadium,3872681446707874355,restroom,0,0,0,0,37.76754118338009,-122.45601470037741,755 Stanyan,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.4560147 37.767541183),5,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Sunnyside Clubhouse,1485550331730371135,restroom,0,0,0,0,37.7337038710484,-122.44735540227423,Teresita Ave & Melrose,San Francisco,CA,94127,Sunnyside Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.447355402 37.733703871),7,West of Twin Peaks,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Lower Polk - Myrtle and Larkin streets (JCDecaux),7671891056194831451,restroom,0,0,0,0,37.7855716,-122.4180901,Myrtle and Larkin streets (JCDecaux),San Francisco,CA,,Sgt. John Macaulay Park,publicly_accessible,,,,,pit_stop,POINT (-122.4180901 37.7855716),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Bernal Heights Rec Center,3195322800649596575,restroom,0,0,0,0,37.73831275465582,-122.4159975455809,500 Moultrie St,San Francisco,CA,94110,Bernal Heights Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415997546 37.738312755),9,Bernal Heights,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Silver Terrace Clubhouse,502295565233411923,restroom,0,0,0,0,37.73251707663873,-122.4023989850709,Thornton & Bayshore,San Francisco,CA,94124,Silver Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.402398985 37.732517077),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Douglass Restrooms,6739609299111966026,restroom,0,0,0,0,37.74628322245812,-122.43968176169207,26th & Douglass Street,San Francisco,CA,94131,Douglass Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439681762 37.746283222),8,Noe Valley,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Moscone Rec Center,4678029647536132904,restroom,0,0,0,0,37.80148455163439,-122.4331857625021,1800 Chestnut St,San Francisco,CA,94123,Moscone Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433185763 37.801484552),2,Marina,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Christopher Clubhouse,2811668174124739375,restroom,0,0,0,0,37.7440206636432,-122.44026813352842,5210 Diamond Heights Boulevard,San Francisco,CA,94131,George Christopher Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440268134 37.744020664),8,Glen Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Parkside Square Bathrooms,3083197964417393154,restroom,0,0,0,0,37.73833759569041,-122.48372261516863,28th Ave & Vicente,San Francisco,CA,94116,Parkside Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.483722615 37.738337596),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Coit Tower,1300996872573206948,restroom,0,0,0,0,37.80244448542703,-122.40586278316921,#1 Telegraph Hill Blvd,San Francisco,CA,94133,Telegraph Hill - Pioneer Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405862783 37.802444485),3,North Beach,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Portsmouth Square Bathrooms,5603727937050556653,restroom,0,0,0,0,37.79461139019399,-122.40563810633144,Washington & Walter Lum Pl,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405638106 37.79461139),3,Chinatown,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
McLaren Park Oxford St Restroom,5813049252582342808,restroom,0,0,0,0,37.72295232995424,-122.41856158876581,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.418561589 37.72295233),11,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Japanese Tea Garden Female Restroom,2844524173085359393,restroom,0,0,0,0,37.770480037205736,-122.46945821883835,Stanyan & Great Hwy,San Francisco,CA,94118,Golden Gate Park - Section 2,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.469458219 37.770480037),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Carl Larsen Restrooms,7214135946158862142,restroom,0,0,0,0,37.73959733870116,-122.47617041537094,19th Ave & Vicente,San Francisco,CA,94116,Carl Larsen Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.476170415 37.739597339),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Outer Sunset Pit Stop - Judah and La Playa streets (Rec Park),6773564667651549547,restroom,0,0,0,0,37.7603081,-122.5091618,Judah and La Playa streets (Rec Park),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.5091618 37.7603081),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Marina Green Bathrooms East,6233768905277028649,restroom,0,0,0,0,37.80646811370672,-122.43452514406691,Marina Blvd,San Francisco,CA,94123,Yacht Harbor and Marina Green,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434525144 37.806468114),2,Marina,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Lower Great Highway Taraval Restrooms,271232090700619754,restroom,0,0,0,0,37.74142662764033,-122.50707980983827,Great Hwy & Taraval,San Francisco,CA,94116,Lower Great Highway,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.50707981 37.741426628),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Bayview Pit Stop - 2500 Jennings St,3068763388383169130,restroom,0,0,0,0,37.7245334,-122.3908424,2500 Jennings St,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.3908424 37.7245334),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Senior Center,4150053459881223465,restroom,0,0,0,0,37.77206108877169,-122.49710208926624,6101 Fulton St & 37th Ave,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.497102089 37.772061089),1,Outer Richmond,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Arboretum South Restrooms,8725389756873139958,restroom,0,0,0,0,37.76682600667807,-122.46836579870839,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.468365799 37.766826007),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Sunnyside Playground Restrooms,7362251202804633462,restroom,0,0,0,0,37.73389885178828,-122.44827783965484,233 Melrose Avenue,San Francisco,CA,94127,Sunnyside Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.44827784 37.733898852),7,West of Twin Peaks,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Sunnyside Conservatory,3755932850212164196,restroom,0,0,0,0,37.73197547399384,-122.44079021945467,Monterey & Baden,San Francisco,CA,94131,Sunnyside Conservatory,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440790219 37.731975474),7,West of Twin Peaks,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Argonne: Clubhouse,1515965608021042744,restroom,0,0,0,0,37.779601568535035,-122.4777727661063,18th Ave  &  Geary Blvd,San Francisco,CA,94121,Argonne Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.477772766 37.779601569),1,Outer Richmond,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mclaren Park Mansell Clubhouse,5091504287788298317,restroom,0,0,0,0,37.719149519398535,-122.41269614362776,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412696144 37.719149519),9,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
McCoppin Square Restrooms,468960480913195708,restroom,0,0,0,0,37.74353231555257,-122.48092128508756,24th & Taraval,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480921285 37.743532316),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Ocean Beach Pit Stop - Great Highway near Beach Chalet,8978516872808671611,restroom,0,0,0,0,37.7675953,-122.5107794,Great Highway near Beach Chalet,San Francisco,CA,,Lower Great Highway,publicly_accessible,,,,,pit_stop,POINT (-122.5107794 37.7675953),4,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - 16th and Capp streets TEMPORARILY CLOSED,2272140836867511486,restroom,0,0,0,0,37.7651596,-122.4187982,16th and Capp streets   TEMPORARILY CLOSED,San Francisco,CA,,,out_of_service,,,,,pit_stop,POINT (-122.4187982 37.7651596),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - Julian Avenue & 15th Street,3416910908677214350,restroom,0,0,0,0,37.7665961,-122.4210799,Julian Avenue & 15th Street,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4210799 37.7665961),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Alta: Restrooms,6158554384647289115,restroom,0,0,0,0,37.791246632695966,-122.43816773231009,Jackson & Steiner,San Francisco,CA,94115,Alta Plaza Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438167732 37.791246633),2,Pacific Heights,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Tenderloin Pit Stop - 388 Ellis St. Tenderloin Pit Stop Daily,7586582180154968615,restroom,0,0,0,0,37.7850978,-122.4125547,388 Ellis St.   Tenderloin Pit Stop Daily,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4125547 37.7850978),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
DuPont Courts Restrooms,9157226914370568505,restroom,0,0,0,0,37.78288410122402,-122.49085415667906,30th Ave & Clement,San Francisco,CA,94121,DuPont Tennis Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.490854157 37.782884101),1,Outer Richmond,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Park Aid Station,6515724856502307209,restroom,0,0,0,0,37.7669891329403,-122.45335129124264,811 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.453351291 37.766989133),5,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Martin Luther King Jr Pool,8462497620449821810,restroom,0,0,0,0,37.72539341134939,-122.3933782381792,3rd & Armstrong,San Francisco,CA,94124,Bayview K.C. Jones Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.393378238 37.725393411),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Laurel Hill Clubhouse,5792798905216035670,restroom,0,0,0,0,37.78369099758741,-122.45113545077142,Euclid & Collins St,San Francisco,CA,94118,Laurel Hill Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.451135451 37.783690998),2,Presidio Heights,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Tennis & Pro Shop,8197108090095025584,restroom,0,0,0,0,37.770045474657934,-122.45956522414929,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.459565224 37.770045475),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Harvey Milk Recreational Arts Bldg,3179317602354845196,restroom,0,0,0,0,37.769579230805306,-122.4345775107414,50 Scott St,San Francisco,CA,94117,Duboce Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434577511 37.769579231),8,Haight Ashbury,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Midtown Terrace Clubhouse,2914129059992107756,restroom,0,0,0,0,37.75167266482095,-122.45588192095771,Clarendon & Olympia Way,San Francisco,CA,94131,Midtown Terrace Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455881921 37.751672665),7,Twin Peaks,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
North Beach Pit Stop - Washington Square at Union St. (JCDecaux),5044111039446243996,restroom,0,0,0,0,37.8004679,-122.4097323,Washington Square at Union St. (JCDecaux),San Francisco,CA,,Washington Square,publicly_accessible,,,,,pit_stop,POINT (-122.4097323 37.8004679),3,North Beach,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
SoMa Pit Stop - Victoria Manalo Draves Park (Rec Park),3769861877417491906,restroom,0,0,0,0,37.7767602,-122.4060242,Victoria Manalo Draves Park (Rec Park),San Francisco,CA,,Victoria Manalo Draves Park,publicly_accessible,,,,,pit_stop,POINT (-122.4060242 37.7767602),6,South of Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Louis Sutter Clubhouse,5639449430404933875,restroom,0,0,0,0,37.722391053344516,-122.41438778560583,Wayland & Yale St,San Francisco,CA,94134,Louis Sutter Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.414387786 37.722391053),9,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Chalet Soccer Fields Restrooms,7568799149189004874,restroom,0,0,0,0,37.76726782189881,-122.50798560271909,John F. Kennedy Dr,San Francisco,CA,94122,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.507985603 37.767267822),4,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Polo Field North Restrooms,4046357852653494848,restroom,0,0,0,0,37.769420721156855,-122.4930999211482,,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.493099921 37.769420721),4,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Kezar Fieldhouse S,8550628426363439131,restroom,0,0,0,0,37.76618595777569,-122.4559997103672,755 Stanyan,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.45599971 37.766185958),5,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Hilltop Park Bathrooms,363749136987183442,restroom,0,0,0,0,37.73307125881445,-122.38257771924184,La Salle & Whitney Young Cir,San Francisco,CA,94124,Hilltop Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.382577719 37.733071259),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - SFGH Building 25 Covid 19 Pit Stop,8639041455397686454,restroom,0,0,0,0,37.7551445,-122.405358,SFGH Building 25 Covid 19 Pit Stop,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.405358 37.7551445),10,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Minnie & Lovie Ward Rec Center,7200183235575193233,restroom,0,0,0,0,37.71630760585444,-122.45746131249439,650 Capitol Ave,San Francisco,CA,94112,Minnie and Lovie Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457461312 37.716307606),11,Oceanview/Merced/Ingleside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Randall Museum,4121861414795695393,restroom,0,0,0,0,37.76454038620552,-122.43823384024425,Roosevelt & Museum Way,San Francisco,CA,94114,Corona Heights Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43823384 37.764540386),8,Castro/Upper Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Washington Square Bathrooms,9223139223415104835,restroom,0,0,0,0,37.80106426145557,-122.41063428453177,Filbert & Stockton & Columbus,San Francisco,CA,94133,Washington Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410634285 37.801064261),3,North Beach,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Dolores North Restrooms,6020738412176969080,restroom,0,0,0,0,37.760787977469185,-122.42773810920669,19th & Dolores St,San Francisco,CA,94114,Mission Dolores Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.427738109 37.760787977),8,Castro/Upper Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Chalmers: Clubhouse,4935046314119674759,restroom,0,0,0,0,37.70950399236284,-122.44706566649934,670 Brunswick & Lowell Roemer,San Francisco,CA,94112,Alice Chalmers Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.447065666 37.709503992),11,Excelsior,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Fulton Clubhouse,5914464353027580566,restroom,0,0,0,0,37.77355507775869,-122.4868884140519,27th Ave & Fulton St,San Francisco,CA,94121,Fulton Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.486888414 37.773555078),1,Outer Richmond,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Marina Green Bathrooms West,7071238898309551670,restroom,0,0,0,0,37.80567372316939,-122.44826244873836,Marina Blvd,San Francisco,CA,94123,Yacht Harbor and Marina Green,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448262449 37.805673723),2,Marina,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
