name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Garfield Square Clubhouse,2120452437850770345,restroom,0,0,0,0,37.74990571988117,-122.41234390987782,26th & Harrison St,San Francisco,CA,94110,Garfield Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.41234391 37.74990572),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Alamo Square Restrooms,5648809740031184133,restroom,0,0,0,0,37.776086082936274,-122.43432881979481,Hayes & Steiner,San Francisco,CA,94117,Alamo Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43432882 37.776086083),5,Hayes Valley,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Stanyan Kiosk,5807497384622026071,restroom,0,0,0,0,37.769905465820784,-122.45428181394065,Stanyan & Page,San Francisco,CA,94122,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.454281814 37.769905466),5,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Tenderloin Pit Stop - Taylor and Turk streets,7460298997726487520,restroom,0,0,0,0,37.7832058,-122.4108252,Taylor and Turk streets,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4108252 37.7832058),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Moscone Bathrooms,3218658186314579548,restroom,0,0,0,0,37.80220198985305,-122.43462802580368,1800 Chestnut Street,San Francisco,CA,94123,Moscone Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434628026 37.80220199),2,Marina,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Harbormasters Office,7699958693289885831,restroom,0,0,0,0,37.80663638306637,-122.44262142783437,3950 Scott St,San Francisco,CA,94123,Yacht Harbor and Marina Green,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.442621428 37.806636383),,Marina,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Herz Clubhouse,3974745258872349567,restroom,0,0,0,0,37.7139433142616,-122.41637788074307,1700 Visitacion & Hahn Sts,San Francisco,CA,94134,Herz Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416377881 37.713943314),10,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Embarcadero Pit Stop - Embarcadero Plaza (JCDecaux),7227832692528728198,restroom,0,0,0,0,37.7946278,-122.394598,Embarcadero Plaza (JCDecaux),San Francisco,CA,,Embarcadero Plaza,publicly_accessible,,,,,pit_stop,POINT (-122.394598 37.7946278),3,Financial District/South Beach,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Lake Merced Boathouse,4000040349104825380,restroom,0,0,0,0,37.72547563890555,-122.49936475909412,Lake Merced Blvd,San Francisco,CA,94132,Lake Merced Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.499364759 37.725475639),7,Lakeshore,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Gilman Bathrooms,7956759552719151542,restroom,0,0,0,0,37.717183532770584,-122.38878585325068,Gilman Ave & Griffith,San Francisco,CA,94124,Gilman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.388785853 37.717183533),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Noe Valley Courts Bathrooms,3699844018080909753,restroom,0,0,0,0,37.751489067874815,-122.43921688240489,24th & Douglass St,San Francisco,CA,94114,Noe Valley Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.439216882 37.751489068),8,Noe Valley,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Yik Oi Huang Peace & Friendship Park Clubhouse,1677334419306752607,restroom,0,0,0,0,37.71274482954459,-122.40868228718548,251 Leland St,San Francisco,CA,94134,Visitacion Valley Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.408682287 37.71274483),10,Visitacion Valley,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - 885 Potrero Ave.,8190270987040459944,restroom,0,0,0,0,37.7584902,-122.4067787,885 Potrero Ave.,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4067787 37.7584902),10,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
St Mary's PG Restrooms,2028357288166134714,restroom,0,0,0,0,37.7340856467432,-122.42143249563142,Murray & Justin Drive,San Francisco,CA,94110,St. Mary's Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.421432496 37.734085647),9,Bernal Heights,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Haight Ashbury Pit Stop - Stanyan and Waller streets (JCDecaux),7142556760707795661,restroom,0,0,0,0,37.7682426,-122.4534175,Stanyan and Waller streets (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4534175 37.7682426),5,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mid-Market Pit Stop - U.N. Plaza (JCDecaux) Mid Market Pit Stop Daily,8685031922893760649,restroom,0,0,0,0,37.7801432,-122.4130822,U.N. Plaza (JCDecaux)   Mid Market Pit Stop Daily,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4130822 37.7801432),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
McLaren Bike Restroom,1992537512030673501,restroom,0,0,0,0,37.7141346531449,-122.42329115421975,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.423291154 37.714134653),10,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
States Street Restrooms,9073958045030391586,restroom,0,0,0,0,37.763769807227916,-122.43858247477598,States St,San Francisco,CA,94114,States Street Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438582475 37.763769807),8,Castro/Upper Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Francisco Restroom,6436225575973073163,restroom,0,0,0,0,37.80353647094104,-122.42122888299309,Hyde & Bay,San Francisco,CA,94109,Francisco Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.421228883 37.803536471),2,Russian Hill,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Rec Center,7286495612961491893,restroom,0,0,0,0,37.75822044827675,-122.41279776056611,2450 Harrison St,San Francisco,CA,94110,Mission Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412797761 37.758220448),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Glen Park Rec Center,1653814492978563231,restroom,0,0,0,0,37.737024561055584,-122.4407694324129,Bosworth & O'Shaughnessy,San Francisco,CA,94131,,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.440769432 37.737024561),8,Glen Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Tenderloin Pit Stop - 200 Leavenworth St,8497191972008609824,restroom,0,0,0,0,37.783043,-122.4140649,200 Leavenworth St,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4140649 37.783043),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Rochambeau Clubhouse,3542277325770407957,restroom,0,0,0,0,37.78501370715366,-122.48454456896599,24th Ave & Lake,San Francisco,CA,94121,Rochambeau Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.484544569 37.785013707),1,Outer Richmond,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Joseph Lee Rec Center,4732333100158243303,restroom,0,0,0,0,37.73468677598079,-122.38948267619621,1395 Mendell St,San Francisco,CA,94124,Joseph Lee Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.389482676 37.734686776),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mid-Market Pit Stop - Hallidie Plaza (JCDecaux),3464628251007818350,restroom,0,0,0,0,37.7844142,-122.4077797,Hallidie Plaza (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4077797 37.7844142),3,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
McCoppin Square Clubhouse,341541798497557024,restroom,0,0,0,0,37.74355155905102,-122.48070841762875,24th & Taraval,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480708418 37.743551559),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Lafayette Park Restrooms,4944039720054315216,restroom,0,0,0,0,37.79172412414463,-122.42815292618226,Washington & Laguna St,San Francisco,CA,94109,Lafayette Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.428152926 37.791724124),2,Pacific Heights,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Crocker Amazon Clubhouse,7495279004308334249,restroom,0,0,0,0,37.71518680630743,-122.4319875600785,Moscow & Italy St,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43198756 37.715186806),11,Excelsior,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Raymond Kimbell Fieldhouse,2021633674666430636,restroom,0,0,0,0,37.782315486930706,-122.43561636826026,Steiner & O'Farrell St,San Francisco,CA,94115,Raymond Kimball Playground,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.435616368 37.782315487),5,Western Addition,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Tenderloin Pit Stop - 474 O'Farrell Street,3273606294984689376,restroom,0,0,0,0,37.7858991,-122.4119361,474 O'Farrell Street,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4119361 37.7858991),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Cayuga Clubhouse,3958142903091328013,restroom,0,0,0,0,37.714340697897065,-122.44983896669528,Cayuga & Naglee St,San Francisco,CA,94112,Cayuga Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449838967 37.714340698),11,Outer Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Rossi Community Pool,5414478794514252376,restroom,0,0,0,0,37.77906477017134,-122.45837522852317,Arguello & Anza,San Francisco,CA,94118,Angelo J. Rossi Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458375229 37.77906477),1,Lone Mountain/USF,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Palega Rec Center,1380573470462414493,restroom,0,0,0,0,37.72920701577111,-122.40974186597414,500 Felton,San Francisco,CA,94134,Palega Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409741866 37.729207016),9,Portola,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mountain Lake Restrooms,7662904050712720207,restroom,0,0,0,0,37.78702292650725,-122.4717815566751,12th Ave & Lake St,San Francisco,CA,94118,Mountain Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.471781557 37.787022927),1,Inner Richmond,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
